method,subgraph_nodes,sampling_size,subgraph_edges,trials,total_runtime_sec,centrality_total_runtime_sec,centrality_compute_runtime_sec,centrality_validation_runtime_sec,brute_avg_runtime_per_edge_sec
bruteforce_all_edges,100,10,3857,2,0.3483181665005759,,,,0.00013851217063545084
bruteforce_all_edges,100,30,3857,2,1.106370978999621,,,,0.00044793502520348806
bruteforce_all_edges,100,50,3857,2,1.8545825210003386,,,,0.0007433765524073627
bruteforce_all_edges,100,100,3857,2,3.7599323124995863,,,,0.0015195741390407994
bruteforce_all_edges,200,10,13777,2,5.526140562499677,,,,0.0006309933093434543
bruteforce_all_edges,200,30,13777,2,17.26682033350062,,,,0.0018716198908610032
bruteforce_all_edges,200,50,13777,2,28.41406737449961,,,,0.0031216642252766017
bruteforce_all_edges,200,100,13777,2,56.467700229499314,,,,0.00625590182116393
bruteforce_all_edges,400,10,4407,2,2.033912979500201,,,,0.00046714426212863614
bruteforce_all_edges,400,30,4407,2,5.99481381250007,,,,0.0013787145095063961
bruteforce_all_edges,400,50,4407,2,10.2082033125007,,,,0.002348216711807294
bruteforce_all_edges,400,100,4407,2,20.488521874500293,,,,0.0047144445491661404
centrality,100,10,3857,2,,0.039331312499598425,0.029744583000137936,0.008997667000585352,
centrality,100,30,3857,2,,0.06101985399982368,0.030132396000226436,0.030057416500312684,
centrality,100,50,3857,2,,0.08023756200054777,0.02968214549946424,0.0494424375010567,
centrality,100,100,3857,2,,0.13254666650027502,0.03030218749972846,0.10018916700028058,
centrality,200,10,13777,2,,0.25606533300015144,0.21676516700063075,0.037465270499524195,
centrality,200,30,13777,2,,0.34678731199983304,0.21797239650004485,0.1254178335002507,
centrality,200,50,13777,2,,0.4274305834996994,0.2204144584993628,0.20222029150045273,
centrality,200,100,13777,2,,0.6409181670005637,0.2226336875000925,0.409897291499874,
centrality,400,10,4407,2,,0.32079772900033277,0.24270754199915245,0.07688958300059312,
centrality,400,30,4407,2,,0.4410711040000024,0.23237983299986809,0.20669039599943062,
centrality,400,50,4407,2,,0.6286326665003799,0.24588410400065186,0.3797099374987738,
centrality,400,100,4407,2,,0.9346143750008196,0.23256039549960406,0.6967635834998873,
centrality,800,10,18081,2,,0.8693606249998993,0.685288603999652,0.17948108350083203,
centrality,800,30,18081,2,,1.3042264370005796,0.7172901040003126,0.5759732084998177,
centrality,800,50,18081,2,,1.6514125209996564,0.6868614375007382,0.9469921250001789,
centrality,800,100,18081,2,,2.6416654164995634,0.6963350205005554,1.9124822710000444,
centrality,1200,10,30484,2,,1.5857187710007565,1.1795481669996661,0.39586016700013715,
centrality,1200,30,30484,2,,2.3900067920003494,1.1759890414996335,1.188372562499353,
centrality,1200,50,30484,2,,3.24114589599958,1.1712727915009964,2.0269241044998125,
centrality,1200,100,30484,2,,5.316996604499764,1.1662628955009495,4.069801166499019,
